	177	0
	67	1
	82	10
	99	1003
	76	1008
	77	1009
	675	1012
	190	1018
	4	1019
	696	1020
	79	1021
	45	1022
	52	1023
	2031	1024
	71	1025
	112	1026
	243	1027
	20	1032
	96	1036
	705	104
	74	1040
	98	1041
	60	1042
	2	1043
	14	1044
	44	1045
	1	1052
	1	1053
	2	1054
	101	1055
	44	1056
	119	1057
	215	1061
	1277	1062
	127	1063
	128	1067
	47	1073
	117	1074
	114	1076
	37	1084
	11	1085
	90	1086
	125	1087
	15	1088
	2402	109
	23	1090
	72	1095
	6	1096
	1314	1098
	95	1099
	8346	110
	38	1104
	105	1105
	3	1106
	127	1107
	846	1108
	36	1109
	1089	111
	214	1110
	5174	1111
	939	1112
	71	1113
	53	1114
	142	1115
	3035	1116
	8972	112
	7	1121
	62	1124
	30	1125
	106	1126
	761	1127
	4	1128
	95	1129
	9284	113
	92	1137
	67	1138
	1	1139
	56	114
	98	1141
	80	1142
	1404	1143
	7	1144
	21	1145
	44	1146
	136	1147
	214	1148
	6245	115
	57	1151
	30	1153
	1060	1154
	80	1157
	66	116
	2865	1166
	88	1167
	267	1169
	7	1173
	9	1174
	10	1175
	20	1176
	12	1177
	12	1178
	5	118
	5672	1181
	38	1184
	72	1185
	86	1186
	114	1187
	70	1188
	91	1189
	40	119
	37	1196
	26	120
	86	1202
	130	1203
	75	1204
	59	1206
	86	1207
	61	1208
	109	1210
	41	1214
	81	1217
	7	1219
	61	1220
	174	1221
	1	1222
	68	1229
	30	123
	931	1230
	138	1231
	70	1232
	79	1236
	63	1237
	84	1239
	5	124
	739	1242
	4	1243
	27	1245
	9	1246
	4	125
	38	1252
	219	1257
	123	126
	109	1260
	35	1262
	39	127
	89	1272
	1073	1273
	72	1274
	32	1275
	92	1276
	66	128
	12	1280
	16	1281
	38	1282
	5706	1283
	2713	1284
	14580	129
	100	1291
	18	1294
	68	1298
	96	1299
	50	130
	62	1301
	4	1303
	113	1304
	985	1305
	65	1306
	71	1308
	597	1309
	24	131
	19	132
	117	1321
	80	1322
	60	1323
	21	1324
	7	1325
	9	1326
	17	1327
	10	1328
	99	1329
	24	133
	44	1330
	47	1331
	136	1332
	49	1333
	118	1336
	66	1337
	1536	1339
	21	134
	2	1343
	55	135
	480	1351
	93	1352
	55	1353
	1729	1355
	73	1356
	57	1357
	51	1358
	2332	1359
	21	136
	1091	1362
	15	1363
	18	1364
	12	1365
	5	1366
	14	1367
	51	1368
	61	1369
	139	137
	47	138
	168	1380
	7520	1381
	155	1383
	673	1384
	56	1389
	62	1390
	68	1391
	546	1396
	1	1398
	82	140
	19	1402
	15	1404
	11	1405
	18	1407
	84	1408
	82	1413
	76	1419
	12	1420
	125	1421
	43	1427
	41	1428
	99	1429
	2	1431
	199	1434
	8136	1436
	117	1437
	699	1438
	1567	1439
	128	1441
	89	1442
	3259	1445
	139	1446
	101	1447
	80	1465
	54	1466
	71	1467
	45	1468
	83	1472
	8	1481
	69	1482
	115	1483
	10	1484
	200	1485
	604	1490
	89	1491
	1180	1492
	254	1493
	72	1495
	34	1500
	52	1501
	141	1502
	14	1503
	6	151
	6770	1514
	91	1515
	13433	1516
	4	152
	1	1520
	213	1521
	73	1529
	52	1531
	187	1532
	4052	1533
	6	1534
	682	1537
	159	1538
	118	1540
	1	1542
	1	1543
	159	1544
	1752	1545
	710	1548
	12	1550
	50	1551
	88	1552
	6	1564
	12	1565
	61	1566
	7	1567
	3297	1571
	211	1574
	104	1575
	217	1578
	736	1582
	3	159
	8	1590
	2	1591
	85	1592
	125	1593
	5	1594
	183	1595
	15	1597
	9	1598
	47	1603
	75	1604
	50	1608
	95	1609
	2	161
	79	1610
	80	1611
	11	1618
	72	162
	244	1623
	87	1626
	6	1628
	414	1630
	2067	1631
	1195	1642
	168	1647
	3602	1648
	75	1654
	744	1655
	105	1656
	154	1659
	2849	1660
	35	167
	44	1674
	6	1675
	43	168
	95	1685
	100	1686
	86	1689
	39	169
	105	1690
	29	1691
	9	1703
	11	1704
	18	1705
	145	1706
	825	1707
	201	1711
	14	1712
	90	1715
	118	1716
	72	1725
	57	1727
	149	1728
	8521	173
	230	1733
	1593	1736
	75	1737
	51	1738
	117	1739
	69	174
	808	1742
	78	1743
	28	1744
	135	1745
	1	1746
	3817	175
	111	1759
	105	176
	90	1763
	18	177
	32	1770
	4	1771
	171	1779
	66	178
	148	1784
	1	1785
	53	1786
	39	1787
	70	179
	984	1792
	2494	1794
	36	1795
	181	1796
	5	1797
	140	1799
	79	180
	608	1804
	5147	1808
	35	1809
	27	181
	53	1811
	94	1812
	72	1813
	10499	1817
	50	1818
	29	1819
	8	182
	28	1820
	35	1821
	81	1822
	143	1823
	706	1825
	43	1826
	117	1828
	131	1829
	40	183
	170	1830
	74	1831
	74	1832
	35652	1833
	757	1836
	135	1838
	214	1839
	100	1840
	3705	1842
	713	1843
	195	1845
	46	1846
	4	1848
	78	1849
	11	1850
	91	1853
	1	1854
	106	1859
	49	186
	41	1860
	60	1861
	26	1862
	139	1863
	54	1864
	35	1865
	119	1866
	81	1867
	38	1869
	63	187
	62	1870
	79	1871
	348	1881
	70	1887
	57	189
	122	1890
	249	1897
	92	1898
	686	1899
	15	190
	50	1900
	83	1901
	13784	1908
	52	191
	8	1911
	8	1912
	47	1915
	4	1919
	42	192
	107	1920
	138	1921
	87	1922
	84	1923
	82	1924
	111	1925
	96	1926
	79	1927
	3	1928
	4	193
	583	1931
	8	1932
	8	1934
	130	1935
	11	1937
	269	194
	544	1946
	44	1949
	487	1950
	120	1951
	73	1952
	106	1953
	79	1957
	43	1958
	47	196
	117	1966
	1	1967
	25	197
	117	1973
	707	1976
	78	1978
	117	1979
	38	198
	126	1980
	67	1981
	9	1983
	8	1984
	1	1985
	88	1986
	83	1987
	32	199
	66	1990
	64	1992
	88	1995
	100	2001
	357	2002
	36	2004
	70	2005
	47	2006
	242	2007
	71	2009
	173	201
	3	2011
	52	2012
	69	2013
	73	2014
	128	2015
	81	2016
	85	2017
	57	202
	96	2021
	70	2022
	1	2023
	71	2024
	51	2025
	79	2026
	110	2027
	16	203
	688	2031
	57	2036
	62	2037
	95	2038
	6	204
	246	2040
	91	2041
	101	2042
	164	2045
	55	2046
	84	2047
	2794	2048
	4	205
	170	2053
	164	2056
	8	2057
	717	2058
	65	2059
	129	2060
	45	2061
	334	2062
	253	2063
	4752	2065
	92	2070
	166	2071
	200	2072
	63	2074
	1998	2075
	192	2076
	34	2078
	34	2079
	108	2080
	40	2082
	31	2083
	5918	2088
	6	2089
	97	2090
	156	2091
	89	2094
	232	2095
	132	2096
	137	2097
	48	2098
	333	2099
	83	210
	22	2100
	37	2101
	94	2102
	75	2106
	131	2108
	593	2119
	88	212
	239	2120
	119	2121
	70	2122
	63	2123
	138	2124
	115	2132
	136	2135
	126	2138
	84	2139
	85	2140
	5	2141
	28	2143
	61	2145
	33	2146
	97	2147
	308	2157
	25	2158
	67	2160
	35	2161
	711	2162
	141	2163
	97	2165
	273	2167
	980	2168
	132	2171
	55	2181
	207	2183
	51	2184
	73	2185
	82	2186
	3296	2187
	33	219
	4	2196
	164	2197
	81	2198
	4	22
	72	220
	138	2201
	122	2202
	224	2203
	743	2207
	45	2208
	136	2209
