		
blood	0	359
    bladder	1	233
    brain	2	841
    bone	3	206
    breast	4	1185
head	5	524
    cervix	6	194
    colorectal	7	345
    esophagus	8	188
    kidney	9	668
    liver	10	991
    ovary	11	316
    lung	12	224
    pancreas	13	1184
    prostate	14	442
    skin	15	337
    stomach	16	298
    uterus	17	246
